# Model selection/average corrs:
1.000000000000000000e+00 9.885235620594550188e-01 -9.017826327078983795e-01
9.885235620594550188e-01 1.000000000000000000e+00 -9.445534246466804618e-01
-9.017826327078983795e-01 -9.445534246466804618e-01 1.000000000000000000e+00
1.000000000000000000e+00 9.887205968913624909e-01 -9.035344649832196540e-01
9.887205968913624909e-01 1.000000000000000000e+00 -9.455776935368850333e-01
-9.035344649832196540e-01 -9.455776935368850333e-01 1.000000000000000000e+00
