# Model selection/average corrs:
1.000000000000000000e+00 9.944217259989724944e-01 -9.685963491721720775e-01
9.944217259989724944e-01 1.000000000000000000e+00 -9.875016540825728439e-01
-9.685963491721720775e-01 -9.875016540825728439e-01 1.000000000000000000e+00
1.000000000000000000e+00 9.953174556219521740e-01 -9.733626303546684122e-01
9.953174556219521740e-01 1.000000000000000000e+00 -9.893529302326564689e-01
-9.733626303546684122e-01 -9.893529302326564689e-01 1.000000000000000000e+00
