3.938483702634635319e-01 5.622134970009649013e-01 6.415313466111730589e-01 6.937798831933137400e-01 7.715985351987931784e-01 7.791054506677250746e-01 8.416856099039389250e-01 8.425438260576578742e-01 6.138614458029382215e-01 5.039472684171408812e-01
3.920388215419965405e-01 5.598935744807799209e-01 6.537146568291979376e-01 7.379064506685769631e-01 7.761549240551702811e-01 7.577681865105191372e-01 8.353875882311356804e-01 8.732340447296402797e-01 1.151425817784849759e+00 1.158417561475307611e+00
3.888530690629992126e-01 5.699215179508443363e-01 6.689646934182996718e-01 7.565048228408566278e-01 7.618424420628960858e-01 7.988307810225379058e-01 8.960341793594750470e-01 8.840029651781839970e-01 9.742531133680177868e-01 8.299805048858132084e-01
3.944207081792981961e-01 5.632867466634060571e-01 6.651087877649657365e-01 7.129289440827289992e-01 7.848247546578669409e-01 7.833656303973918211e-01 9.134094267995480632e-01 8.945881127150291379e-01 8.794772539226805019e-01 8.833147667705633088e-01
3.985122481175977227e-01 5.738885828154026703e-01 6.593241544680490396e-01 7.187593886443184310e-01 7.562702480820991946e-01 8.194486509645444450e-01 9.075572346717001304e-01 9.022181597832308331e-01 1.017848183657535710e+00 5.596628756901766977e-02
3.914860152110581359e-01 5.637476345602407957e-01 6.448171232015502685e-01 7.523610195909331555e-01 8.114357107487482068e-01 8.348068039081892877e-01 8.755455750619249855e-01 9.582404890609065307e-01 1.194158939133043607e+00 -3.111448773679794666e-01
3.911908366053243324e-01 5.619942702893564457e-01 6.506423624248423021e-01 7.476388952917033537e-01 7.866392792783041266e-01 8.584505849380225095e-01 1.069119236556940633e+00 1.437805000578173065e+00 1.318841525006094972e+00 1.914313145013322170e+00
3.918495058211286519e-01 5.505277777680044338e-01 6.568327882594034994e-01 6.931520899761117738e-01 7.562785599759943578e-01 8.995209434654435343e-01 9.408684233087799553e-01 8.292381564500076463e-01 1.111892190385802559e+00 1.422534971813659510e+00
3.901437944187238216e-01 5.515005789898929089e-01 6.248066619912048258e-01 7.059492697669228489e-01 7.808794138739729718e-01 8.542680093219623405e-01 9.631044085424530499e-01 7.840382343077225702e-01 5.056577919080681438e-01 -8.544894729102439079e-01
3.905306336918574761e-01 5.529170612731679757e-01 6.192898681124294757e-01 7.018545528433756120e-01 7.467439080248352568e-01 7.801569616934338480e-01 6.489376143547611608e-01 4.505264171971745668e-01 3.775493803623523048e-01 -1.561349000621256700e+00
3.958537975698347977e-01 5.720119692466361094e-01 6.454058210788954364e-01 7.321208931289175936e-01 7.683061776353764527e-01 7.685082265765657006e-01 8.844632620007705226e-01 7.837627119157670741e-01 1.379056698809639103e+00 1.687944346866061540e+00
3.907740530934850631e-01 5.504323433316072878e-01 6.350838407160963595e-01 7.212055551819579469e-01 7.202263390166259160e-01 7.925225164617968332e-01 8.226657560335906005e-01 6.470906263008645576e-01 3.677825052944873052e-01 -1.513355812878436346e+00
3.931051266062052241e-01 5.755400467751059512e-01 6.672668428085619663e-01 7.233953247725920521e-01 7.539908668792727475e-01 7.941173020098777346e-01 8.296779578139509281e-01 1.032576637754114568e+00 1.315253464212456258e+00 1.574327464619403871e-01
3.942757706177733024e-01 5.677708865098221036e-01 6.581001331104917584e-01 6.964965846091624169e-01 7.550470263222559542e-01 8.283260403450530829e-01 8.953806374512417454e-01 9.686570056666065076e-01 1.055692321348170370e+00 1.131596747735134745e+00
