# Model selection/average corrs:
1.000000000000000000e+00 9.458154670232938876e-01 -8.683893562207847250e-01
9.458154670232938876e-01 1.000000000000000000e+00 -9.789253379316132930e-01
-8.683893562207847250e-01 -9.789253379316132930e-01 1.000000000000000000e+00
1.000000000000000000e+00 9.341099293260015646e-01 -8.394521452066757705e-01
9.341099293260015646e-01 1.000000000000000000e+00 -9.760887533795271631e-01
-8.394521452066757705e-01 -9.760887533795271631e-01 1.000000000000000000e+00
